member_id,tenure_months,fob_entries_30d,shop_nights_90d,tool_checkouts_90d,orientation_completed,dues_current,lapsed
1,12,10,5,2,1,1,0
2,3,0,0,0,0,0,1
3,24,15,10,5,1,1,0
4,6,2,1,0,1,0,1
5,18,8,4,3,1,1,0
6,2,0,0,0,0,0,1
7,9,5,2,1,1,1,0
8,15,12,6,2,1,1,0
9,4,1,0,0,0,0,1
10,20,14,8,4,1,1,0
11,5,2,1,0,0,0,1
12,13,9,5,2,1,1,0
13,7,3,1,0,0,0,1
14,16,11,6,3,1,1,0
15,22,13,7,4,1,1,0
16,8,4,2,1,0,0,1
17,19,12,6,3,1,1,0
18,3,0,0,0,0,0,1
19,25,16,9,5,1,1,0
20,10,6,3,1,1,1,0
21,4,1,0,0,0,0,1
22,14,9,5,2,1,1,0
23,6,2,1,0,0,0,1
24,17,10,5,3,1,1,0
25,2,0,0,0,0,0,1
26,11,7,3,1,1,1,0
27,5,2,1,0,0,0,1
28,18,12,6,2,1,1,0
29,9,5,2,1,0,0,1
30,20,14,8,4,1,1,0
31,3,0,0,0,0,0,1
32,22,13,7,4,1,1,0
33,7,3,1,0,0,0,1
34,15,11,6,3,1,1,0
35,4,1,0,0,0,0,1
36,13,9,5,2,1,1,0
37,6,2,1,0,0,0,1
38,16,11,6,3,1,1,0
39,8,4,2,1,0,0,1
40,21,15,8,5,1,1,0
41,5,2,1,0,0,0,1
42,14,10,5,3,1,1,0
43,9,5,2,1,0,0,1
44,19,13,7,4,1,1,0
45,3,0,0,0,0,0,1
46,17,12,6,3,1,1,0
47,10,6,3,1,1,1,0
48,2,0,0,0,0,0,1
49,20,14,8,4,1,1,0
50,6,2,1,0,0,0,1
